variance_threshold,n_components,accuracy,time_taken
0.1,3,0.5194,2.2944576740264893
0.15000000000000002,4,0.668,2.025594711303711
0.20000000000000004,6,0.8348,2.1995716094970703
0.25000000000000006,9,0.8893,2.329054355621338
0.30000000000000004,12,0.9202,2.656784772872925
0.3500000000000001,17,0.9409,2.0533454418182373
0.40000000000000013,23,0.9491,1.9471580982208252
0.45000000000000007,30,0.9523,1.9802157878875732
0.5000000000000001,39,0.9581,2.017190456390381
0.5500000000000002,50,0.9578,2.2616913318634033
0.6000000000000002,64,0.9579,2.1939361095428467
0.6500000000000001,80,0.9577,2.2053961753845215
0.7000000000000002,98,0.9582,2.3132362365722656
0.7500000000000002,120,0.9571,2.404890298843384
0.8000000000000002,149,0.9557,2.759986639022827
0.8500000000000002,185,0.9548,2.6812891960144043
0.9000000000000002,236,0.9543,3.0468645095825195
0.9500000000000003,331,0.9486,3.343107223510742
